,year,state,r_win,d_win,r_votes,d_votes
88,1978,RHODE ISLAND,0.0,2.0,133637.0,174165.0
89,1978,SOUTH CAROLINA,2.0,4.0,183433.0,376777.0
90,1978,SOUTH DAKOTA,1.0,1.0,135324.0,120199.0
91,1978,TENNESSEE,3.0,5.0,448825.0,580617.0
92,1978,TEXAS,4.0,20.0,888215.0,1285348.0
93,1978,UTAH,1.0,1.0,206520.0,162791.0
94,1978,VERMONT,1.0,0.0,90688.0,23228.0
95,1978,VIRGINIA,6.0,4.0,545151.0,444049.0
96,1978,WASHINGTON,1.0,6.0,450847.0,507252.0
97,1978,WEST VIRGINIA,0.0,4.0,151918.0,290927.0
98,1978,WISCONSIN,3.0,6.0,675953.0,768536.0
99,1978,WYOMING,1.0,0.0,75855.0,53522.0
100,1980,ALABAMA,3.0,4.0,354224.0,628133.0
101,1980,ALASKA,1.0,0.0,114089.0,39922.0
102,1980,ARIZONA,2.0,2.0,434024.0,394275.0
103,1980,ARKANSAS,2.0,2.0,159149.0,42280.0
104,1980,CALIFORNIA,21.0,22.0,4176462.0,3664614.0
105,1980,COLORADO,2.0,3.0,619504.0,505586.0
106,1980,CONNECTICUT,2.0,4.0,640177.0,695255.0
107,1980,DELAWARE,1.0,0.0,133842.0,81227.0
108,1980,FLORIDA,4.0,11.0,1275719.0,1813164.0
109,1980,GEORGIA,1.0,9.0,381174.0,973540.0
110,1980,HAWAII,0.0,2.0,19819.0,239733.0
111,1980,IDAHO,2.0,0.0,233041.0,182061.0
112,1980,ILLINOIS,14.0,10.0,2417747.0,2048658.0
113,1980,INDIANA,5.0,6.0,1100711.0,1087722.0
114,1980,IOWA,3.0,3.0,609478.0,642763.0
115,1980,KANSAS,4.0,1.0,519874.0,404549.0
116,1980,KENTUCKY,3.0,4.0,442309.0,610411.0
117,1980,LOUISIANA,2.0,6.0,259897.0,506648.0
118,1980,MAINE,2.0,0.0,375073.0,137845.0
119,1980,MARYLAND,1.0,7.0,537078.0,865969.0
120,1980,MASSACHUSETTS,2.0,10.0,757927.0,1473289.0
121,1980,MICHIGAN,7.0,12.0,1659101.0,1877335.0
122,1980,MINNESOTA,5.0,3.0,987147.0,905793.0
123,1980,MISSISSIPPI,2.0,3.0,304472.0,427773.0
124,1980,MISSOURI,4.0,6.0,940510.0,1110060.0
125,1980,MONTANA,1.0,1.0,162305.0,176236.0
126,1980,NEBRASKA,3.0,0.0,451328.0,167415.0
127,1980,NEVADA,0.0,1.0,63163.0,165107.0
128,1980,NEW HAMPSHIRE,1.0,1.0,186869.0,177411.0
129,1980,NEW JERSEY,7.0,8.0,1368981.0,1316100.0
130,1980,NEW MEXICO,2.0,0.0,187474.0,175988.0
131,1980,NEW YORK,15.0,24.0,2458365.0,2596006.0
132,1980,NORTH CAROLINA,4.0,7.0,769144.0,964493.0
133,1980,NORTH DAKOTA,0.0,1.0,124707.0,166437.0
134,1980,OHIO,13.0,10.0,2135669.0,1788410.0
135,1980,OKLAHOMA,1.0,5.0,391209.0,439652.0
136,1980,OREGON,1.0,3.0,438738.0,656737.0
137,1980,PENNSYLVANIA,12.0,12.0,2161638.0,2055590.0
138,1980,RHODE ISLAND,1.0,1.0,172901.0,213726.0
139,1980,SOUTH CAROLINA,4.0,2.0,399039.0,408296.0
140,1980,SOUTH DAKOTA,1.0,1.0,146146.0,173357.0
141,1980,TENNESSEE,3.0,5.0,618876.0,663796.0
142,1980,TEXAS,5.0,19.0,1608636.0,2405026.0
143,1980,UTAH,2.0,0.0,351996.0,232426.0
144,1980,VERMONT,1.0,0.0,154274.0,0.0
